train_score_1,test_score_1,train_score_11,test_score_11,train_score_21,test_score_21,train_score_31,test_score_31,train_score_41,test_score_41,train_score_51,test_score_51,train_score_61,test_score_61,train_score_71,test_score_71,train_score_81,test_score_81,train_score_91,test_score_91,train_score_101,test_score_101,train_score_111,test_score_111,train_score_121,test_score_121,train_score_131,test_score_131,train_score_141,test_score_141,train_score_151,test_score_151,train_score_161,test_score_161,train_score_171,test_score_171,train_score_181,test_score_181,train_score_191,test_score_191
5.828052337756172,5.591218587357173,5.797555093666662,5.859527543370171,5.748890108550509,5.728017207231237,5.595869465136597,5.471183999729741,6.182165303630615,6.441094308825157,6.084036584738217,6.22755914879541,5.994860865148732,5.833631532292323,6.19404499229954,6.086742625493666,6.2919364204951735,6.088642961598476,6.186715708015453,5.956383132072446,6.233526791109521,6.279535301134005,6.73271211027238,6.3071038128817785,5.775110608948343,5.725202704214448,6.7929175203258865,6.919316809418738,6.067655672912337,5.9776731755068795,6.381265122205728,6.103663213230462,6.278187724713963,5.944076935139788,6.086845164782967,6.190486463045918,6.682127512233336,7.0658723586726975,6.42049995736165,6.280057925341296
6.08903878134418,5.802299760341896,6.471427585656139,6.545040031046027,5.671908704156273,5.667173664222109,5.706612323222379,5.652672063143705,6.2647572475136615,6.3792867557459,6.047650134668417,6.145391718607953,6.628032949963721,6.744037366436199,5.974034886823402,5.805597154495421,6.432968310575253,6.607608738679331,6.898477854665487,6.698314852029884,6.2404195637911055,6.272082528685209,6.583672459940068,6.447593288287802,6.040373616090833,5.963297033739401,7.266303109724302,6.985643177335996,6.72281853605628,6.655547367628056,6.151458157479649,6.408091857622189,6.614559890679917,6.308515435479865,6.077106270963102,6.131463139497064,7.112582118698118,7.099309369410649,6.472147965007121,6.374828893083217
5.873249398645071,5.56335793119889,5.808814377158024,5.692734481110291,5.70751743997369,5.7615037283468045,6.213120515317638,6.029344691611271,6.036233554972226,6.145175000461078,6.096722904097106,6.059975355243214,6.220722636668297,6.230921550348563,6.1087320324811305,6.069378135193588,6.902368539766217,6.867481335898213,6.311438303087709,6.167418863380436,6.142369219337149,6.060265839866888,6.018978058331585,5.727473515400967,5.730194343762801,5.396835434345613,6.565096890175047,6.523326996857867,6.359342880109017,6.57157015591345,6.1677433029718145,5.921329021127069,6.731103105632105,6.302870870144185,6.173882202383205,5.985400046789387,6.508999220148489,6.915679221310306,6.245478217387027,6.550110943952033
6.506945500136614,6.297815905025477,5.9328034450825555,5.931422059796163,5.6909654531606,5.717322399091735,5.789778893683886,5.623825726029712,6.227239871123628,6.559170161181115,6.453002229184677,6.600106761001405,6.150216344084317,6.1270656620454895,5.956352520727118,5.7804579489806205,6.404269186654809,6.224637391334386,6.636186188700653,6.737488267198062,6.403628640070203,6.666331548222748,6.063898468873932,5.9383904629352005,5.956217980759115,5.6728863873344,6.559862352803635,6.618445109539126,6.377600863922296,6.291859768854383,6.13806373509563,6.232234618559309,6.295899247679815,6.621306605767822,6.543772532028738,7.107927933431502,6.867117231989011,7.323874233757916,6.089129219693189,6.221228126464354
6.031282722395674,5.756634565076174,6.206776605046321,6.181001189654945,5.523944567061248,5.329664346088836,5.978747675175525,5.845675546751432,6.16076235768945,6.329770566182725,6.826365288822859,6.957090192990591,6.7080138623552505,6.903007311926496,6.099688360816916,5.916135115451791,6.5291309635546035,6.420609939819946,6.315741897384475,6.196667036291188,6.647496501430789,6.3768634319738675,6.0328438414413705,5.727285160262657,5.720748413947052,5.477836668798103,6.420237782904932,6.519989967452343,6.848426402148763,7.092017297314849,6.303214746517588,6.593719988947879,7.4752482497771675,7.1038098956845985,6.116534430710401,5.936999194759185,6.657735748327792,6.899188766988662,6.2619577838598595,6.59014386910735
5.939385692470239,5.677041872385502,5.76630643693077,5.786142881917786,6.0866102796629065,6.047360280837079,5.659813844343657,5.405461818106292,5.976744510565963,6.097131413188274,6.005299235699326,5.902538757413883,6.257293650259085,6.3084120098594845,6.011781044229632,5.95391987657782,6.467174115374921,6.488126465930026,6.4344884682428605,6.245298235591492,6.612007681345799,6.594881995487215,6.271530682206545,6.265452235174749,5.881775175549578,5.510655320731955,6.467660538352421,6.499878985473576,5.874008988038528,5.942914568559685,5.941499012632112,6.039027337297936,6.00189972118913,5.991338546381251,6.620582977019438,7.09108698758413,6.445930202165622,6.825898254084599,6.341176351070085,6.5435953620926774
5.864476171690986,5.58867398871356,6.083169535544825,6.018237089768162,5.525221306682928,5.412663925956704,5.734851254685724,5.555646905832195,6.215884850519727,6.22633881486131,6.055924530668745,6.065201127758882,6.891391318981588,7.063223648562551,6.017283835512873,5.889485717346235,6.285870643130343,6.106150434232368,6.06005316439527,6.048928323890719,6.323332488871396,6.3341960143849825,6.0891058788364525,5.838074367869267,5.7645439206897375,5.4581880888447065,6.758357706507053,6.737845029452137,6.082409128607868,6.383441848420415,5.864442154171769,5.902909176586334,6.038716572493164,6.213780302544929,6.404302078464102,6.231487380137502,7.2261451994714285,7.138772846098141,6.184947747953422,6.440837425614818
5.838338509178708,5.620076362891305,5.9903211149117634,5.876777373124489,5.682229648240865,5.732681263839386,6.011274807477882,6.048588945087708,6.1900023365211165,6.3159892963194455,6.0565114368638735,5.9636449508143015,6.254557625488497,6.336736683779655,6.053848765656548,6.096135331288012,6.6509751515345865,6.349032191182486,6.031456432626058,5.8901748217306364,6.292290877910919,6.291603206015371,6.1309487238847185,6.082888460164599,5.928110131805249,5.471602305942057,6.443412280930382,6.58344013134237,6.055154389133023,6.003234277357576,6.813001535704604,6.467880533192976,6.079412712485403,6.0143868556477065,6.212669862786926,6.378854563008859,6.739217061086357,6.5972125429336534,6.361011858172894,6.65846023826811
5.85430168277562,5.565977034217535,5.949633154177485,5.792458815025635,6.0525857735987065,6.088821796514514,5.960338604908178,5.763131288133722,6.176565284795937,6.330057094750645,6.659629628656671,6.5976111387145,5.974361876737799,5.853772892955423,6.291504188715303,5.9667598529693775,6.347913901642604,6.248515351565996,6.148002429579109,6.285400411269237,6.444778055218189,6.375263147738558,6.157795877344022,5.865296735964412,5.775071644578156,5.508438307976533,6.388639486464147,6.2709274308212155,5.964098334329135,6.01673227610622,6.31711367269554,6.1331262909074376,6.143815312017613,6.230611985650704,6.113762551094242,6.144376547859702,6.467782860285507,6.5926235274472855,6.380852073962135,6.426518443384139
6.285554379709766,6.01138899400122,5.7341491630426695,5.571713657220067,5.539101071235075,5.511928149732326,6.002779086056555,5.95357692688254,6.267157083973787,6.3570586425058915,6.167887506843613,6.1903165510638045,6.110240281149371,5.981933232878884,6.180387918819281,5.980264043856387,6.331192355565651,6.112594139574094,5.957682655316702,5.994143179772989,6.608205968511122,6.432777256587333,6.022561916962462,5.787890132006163,5.940196321500647,5.477444270276489,6.654702885054657,6.557482571101728,6.20873945356784,6.0648299916500115,6.240580900645707,6.22341118490066,5.9643981160054995,5.766011834962395,6.358569844693521,6.39850529474126,6.2750804418946675,6.253670393996452,6.343439467025352,6.611909518539722
